Phi[deg],Theta[deg],re(rEPhi)[mV]
-108,-178,793.602
-107,-178,726.388
-106,-178,658.938
-105,-178,591.269
-104,-178,523.398
-103,-178,455.341
-102,-178,387.115
-101,-178,318.738
-100,-178,250.226
-99,-178,181.598
-98,-178,112.871
-97,-178,44.0623
-96,-178,-24.81
-95,-178,-93.7279
-94,-178,-162.673
-93,-178,-231.628
-92,-178,-300.574
-91,-178,-369.491
-90,-178,-438.363
-89,-178,-507.17
-88,-178,-575.892
-87,-178,-644.512
-86,-178,-713.009
-85,-178,-781.365
-84,-178,-849.56
-83,-178,-917.574
-82,-178,-985.389
-81,-178,-1052.98
-80,-178,-1120.34
-79,-178,-1187.43
-78,-178,-1254.25
-77,-178,-1320.77
-76,-178,-1386.96
-75,-178,-1452.82
-74,-178,-1518.31
-73,-178,-1583.43
-72,-178,-1648.14
-71,-178,-1712.43
-70,-178,-1776.28
-69,-178,-1839.66
-68,-178,-1902.57
-67,-178,-1964.96
-66,-178,-2026.83
-65,-178,-2088.15
-64,-178,-2148.91
-63,-178,-2209.08
-62,-178,-2268.64
-61,-178,-2327.57
-60,-178,-2385.85
-59,-178,-2443.46
-58,-178,-2500.38
-57,-178,-2556.59
-56,-178,-2612.06
-55,-178,-2666.79
-54,-178,-2720.74
-53,-178,-2773.89
-52,-178,-2826.24
-51,-178,-2877.75
-50,-178,-2928.41
-49,-178,-2978.2
-48,-178,-3027.09
-47,-178,-3075.08
-46,-178,-3122.13
-45,-178,-3168.24
-44,-178,-3213.38
-43,-178,-3257.54
-42,-178,-3300.69
-41,-178,-3342.82
-40,-178,-3383.9
-39,-178,-3423.94
-38,-178,-3462.9
-37,-178,-3500.76
-36,-178,-3537.53
-35,-178,-3573.16
-34,-178,-3607.66
-33,-178,-3641.01
-32,-178,-3673.18
-31,-178,-3704.17
-30,-178,-3733.97
-29,-178,-3762.55
-28,-178,-3789.9
-27,-178,-3816.02
-26,-178,-3840.88
-25,-178,-3864.48
-24,-178,-3886.81
-23,-178,-3907.85
-22,-178,-3927.59
-21,-178,-3946.02
-20,-178,-3963.13
-19,-178,-3978.92
-18,-178,-3993.37
-17,-178,-4006.48
-16,-178,-4018.24
-15,-178,-4028.63
-14,-178,-4037.66
-13,-178,-4045.32
-12,-178,-4051.6
-11,-178,-4056.5
-10,-178,-4060.01
-9,-178,-4062.13
-8,-178,-4062.85
-7,-178,-4062.18
-6,-178,-4060.11
-5,-178,-4056.64
-4,-178,-4051.77
-3,-178,-4045.49
-2,-178,-4037.81
-1,-178,-4028.74
0,-178,-4018.26
1,-178,-4006.38
2,-178,-3993.11
3,-178,-3978.45
4,-178,-3962.4
5,-178,-3944.97
6,-178,-3926.16
7,-178,-3905.97
8,-178,-3884.42
9,-178,-3861.52
10,-178,-3837.25
11,-178,-3811.65
12,-178,-3784.71
13,-178,-3756.44
14,-178,-3726.86
15,-178,-3695.97
16,-178,-3663.79
17,-178,-3630.32
18,-178,-3595.58
19,-178,-3559.58
20,-178,-3522.33
21,-178,-3483.85
22,-178,-3444.16
23,-178,-3403.26
24,-178,-3361.17
25,-178,-3317.91
26,-178,-3273.49
27,-178,-3227.93
28,-178,-3181.24
29,-178,-3133.45
